# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.181399 eV
#    Energy (eV)      DOS 
        -14.81860106          1.49603017
        -14.81660106          1.49463347
        -14.81460106          1.49085095
        -14.81260106          1.48470071
        -14.81060106          1.47621210
        -14.80860106          1.46542555
        -14.80660106          1.45239219
        -14.80460106          1.43717349
        -14.80260106          1.41984074
        -14.80060106          1.40047451
        -14.79860106          1.37916403
        -14.79660106          1.35600650
        -14.79460106          1.33110636
        -14.79260106          1.30457448
        -14.79060106          1.27652737
        -14.78860106          1.24708633
        -14.78660106          1.21637654
        -14.78460106          1.18452624
        -14.78260106          1.15166579
        -14.78060106          1.11792683
        -14.77860106          1.08344138
        -14.77660106          1.04834105
        -14.77460106          1.01275616
        -14.77260106          0.97681501
        -14.77060106          0.94064313
        -14.76860106          0.90436257
        -14.76660106          0.86809129
        -14.76460106          0.83194257
        -14.76260106          0.79602448
        -14.76060106          0.76043944
        -14.75860106          0.72528379
        -14.75660106          0.69064749
        -14.75460106          0.65661384
        -14.75260106          0.62325928
        -14.75060106          0.59065326
        -14.74860106          0.55885815
        -14.74660106          0.52792922
        -14.74460106          0.49791469
        -14.74260106          0.46885582
        -14.74060106          0.44078703
        -14.73860106          0.41373612
        -14.73660106          0.38772445
        -14.73460106          0.36276725
        -14.73260106          0.33887387
        -14.73060106          0.31604813
        -14.72860106          0.29428864
        -14.72660106          0.27358917
        -14.72460106          0.25393902
        -14.72260106          0.23532339
        -14.72060106          0.21772379
        -14.71860106          0.20111839
        -14.71660106          0.18548246
        -14.71460106          0.17078865
        -14.71260106          0.15700747
        -14.71060106          0.14410756
        -14.70860106          0.13205605
        -14.70660106          0.12081894
        -14.70460106          0.11036131
        -14.70260106          0.10064769
        -14.70060106          0.09164228
        -14.69860106          0.08330923
        -14.69660106          0.07561283
        -14.69460106          0.06851773
        -14.69260106          0.06198914
        -14.69060106          0.05599296
        -14.68860106          0.05049593
        -14.68660106          0.04546577
        -14.68460106          0.04087125
        -14.68260106          0.03668229
        -14.68060106          0.03287004
        -14.67860106          0.02940691
        -14.67660106          0.02626660
        -14.67460106          0.02342415
        -14.67260106          0.02085593
        -14.67060106          0.01853963
        -14.66860106          0.01645427
        -14.66660106          0.01458017
        -14.66460106          0.01289894
        -14.66260106          0.01139339
        -14.66060106          0.01004757
        -14.65860106          0.00884666
        -14.65660106          0.00777698
        -14.65460106          0.00682587
        -14.65260106          0.00598170
        -14.65060106          0.00523381
        -14.64860106          0.00457241
        -14.64660106          0.00398859
        -14.64460106          0.00347421
        -14.64260106          0.00302189
        -14.64060106          0.00262494
        -14.63860106          0.00227732
        -14.63660106          0.00197359
        -14.63460106          0.00170885
        -14.63260106          0.00147874
        -14.63060106          0.00127935
        -14.62860106          0.00110721
        -14.62660106          0.00095927
        -14.62460106          0.00083283
        -14.62260106          0.00072554
        -14.62060106          0.00063537
        -14.61860106          0.00056058
        -14.61660106          0.00049970
        -14.61460106          0.00045152
        -14.61260106          0.00041508
        -14.61060106          0.00038962
        -14.60860106          0.00037463
        -14.60660106          0.00036979
        -14.60460106          0.00037500
        -14.60260106          0.00039037
        -14.60060106          0.00041619
        -14.59860106          0.00045301
        -14.59660106          0.00050155
        -14.59460106          0.00056279
        -14.59260106          0.00063794
        -14.59060106          0.00072845
        -14.58860106          0.00083607
        -14.58660106          0.00096281
        -14.58460106          0.00111102
        -14.58260106          0.00128338
        -14.58060106          0.00148293
        -14.57860106          0.00171313
        -14.57660106          0.00197785
        -14.57460106          0.00228145
        -14.57260106          0.00262878
        -14.57060106          0.00302525
        -14.56860106          0.00347687
        -14.56660106          0.00399027
        -14.56460106          0.00457280
        -14.56260106          0.00523251
        -14.56060106          0.00597826
        -14.55860106          0.00681975
        -14.55660106          0.00776756
        -14.55460106          0.00883324
        -14.55260106          0.01002931
        -14.55060106          0.01136934
        -14.54860106          0.01286802
        -14.54660106          0.01454116
        -14.54460106          0.01640577
        -14.54260106          0.01848007
        -14.54060106          0.02078356
        -14.53860106          0.02333702
        -14.53660106          0.02616251
        -14.53460106          0.02928344
        -14.53260106          0.03272453
        -14.53060106          0.03651179
        -14.52860106          0.04067254
        -14.52660106          0.04523533
        -14.52460106          0.05022994
        -14.52260106          0.05568726
        -14.52060106          0.06163926
        -14.51860106          0.06811885
        -14.51660106          0.07515978
        -14.51460106          0.08279651
        -14.51260106          0.09106403
        -14.51060106          0.09999771
        -14.50860106          0.10963306
        -14.50660106          0.12000555
        -14.50460106          0.13115036
        -14.50260106          0.14310208
        -14.50060106          0.15589449
        -14.49860106          0.16956019
        -14.49660106          0.18413035
        -14.49460106          0.19963432
        -14.49260106          0.21609930
        -14.49060106          0.23354999
        -14.48860106          0.25200822
        -14.48660106          0.27149255
        -14.48460106          0.29201790
        -14.48260106          0.31359519
        -14.48060106          0.33623094
        -14.47860106          0.35992691
        -14.47660106          0.38467976
        -14.47460106          0.41048068
        -14.47260106          0.43731512
        -14.47060106          0.46516244
        -14.46860106          0.49399570
        -14.46660106          0.52378143
        -14.46460106          0.55447942
        -14.46260106          0.58604257
        -14.46060106          0.61841684
        -14.45860106          0.65154119
        -14.45660106          0.68534758
        -14.45460106          0.71976102
        -14.45260106          0.75469978
        -14.45060106          0.79007550
        -14.44860106          0.82579348
        -14.44660106          0.86175300
        -14.44460106          0.89784773
        -14.44260106          0.93396612
        -14.44060106          0.96999196
        -14.43860106          1.00580492
        -14.43660106          1.04128120
        -14.43460106          1.07629418
        -14.43260106          1.11071516
        -14.43060106          1.14441412
        -14.42860106          1.17726053
        -14.42660106          1.20912420
        -14.42460106          1.23987608
        -14.42260106          1.26938919
        -14.42060106          1.29753948
        -14.41860106          1.32420671
        -14.41660106          1.34927530
        -14.41460106          1.37263521
        -14.41260106          1.39418274
        -14.41060106          1.41382136
        -14.40860106          1.43146241
        -14.40660106          1.44702585
        -14.40460106          1.46044086
        -14.40260106          1.47164644
        -14.40060106          1.48059195
        -14.39860106          1.48723747
        -14.39660106          1.49155425
        -14.39460106          1.49352490
        -14.39260106          1.49314362
        -14.39060106          1.49041633
        -14.38860106          1.48536060
        -14.38660106          1.47800566
        -14.38460106          1.46839219
        -14.38260106          1.45657211
        -14.38060106          1.44260821
        -14.37860106          1.42657379
        -14.37660106          1.40855216
