# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          1.49603017
        -19.99800000          1.49463347
        -19.99600000          1.49085095
        -19.99400000          1.48470071
        -19.99200000          1.47621210
        -19.99000000          1.46542555
        -19.98800000          1.45239219
        -19.98600000          1.43717349
        -19.98400000          1.41984074
        -19.98200000          1.40047451
        -19.98000000          1.37916403
        -19.97800000          1.35600650
        -19.97600000          1.33110636
        -19.97400000          1.30457448
        -19.97200000          1.27652737
        -19.97000000          1.24708633
        -19.96800000          1.21637654
        -19.96600000          1.18452624
        -19.96400000          1.15166579
        -19.96200000          1.11792683
        -19.96000000          1.08344138
        -19.95800000          1.04834105
        -19.95600000          1.01275616
        -19.95400000          0.97681501
        -19.95200000          0.94064313
        -19.95000000          0.90436257
        -19.94800000          0.86809129
        -19.94600000          0.83194257
        -19.94400000          0.79602448
        -19.94200000          0.76043944
        -19.94000000          0.72528379
        -19.93800000          0.69064749
        -19.93600000          0.65661384
        -19.93400000          0.62325928
        -19.93200000          0.59065326
        -19.93000000          0.55885815
        -19.92800000          0.52792922
        -19.92600000          0.49791469
        -19.92400000          0.46885582
        -19.92200000          0.44078703
        -19.92000000          0.41373612
        -19.91800000          0.38772445
        -19.91600000          0.36276725
        -19.91400000          0.33887387
        -19.91200000          0.31604813
        -19.91000000          0.29428864
        -19.90800000          0.27358917
        -19.90600000          0.25393902
        -19.90400000          0.23532339
        -19.90200000          0.21772379
        -19.90000000          0.20111839
        -19.89800000          0.18548246
        -19.89600000          0.17078865
        -19.89400000          0.15700747
        -19.89200000          0.14410756
        -19.89000000          0.13205605
        -19.88800000          0.12081894
        -19.88600000          0.11036131
        -19.88400000          0.10064769
        -19.88200000          0.09164228
        -19.88000000          0.08330923
        -19.87800000          0.07561283
        -19.87600000          0.06851773
        -19.87400000          0.06198914
        -19.87200000          0.05599296
        -19.87000000          0.05049593
        -19.86800000          0.04546577
        -19.86600000          0.04087125
        -19.86400000          0.03668229
        -19.86200000          0.03287004
        -19.86000000          0.02940691
        -19.85800000          0.02626660
        -19.85600000          0.02342415
        -19.85400000          0.02085593
        -19.85200000          0.01853963
        -19.85000000          0.01645427
        -19.84800000          0.01458017
        -19.84600000          0.01289894
        -19.84400000          0.01139339
        -19.84200000          0.01004757
        -19.84000000          0.00884666
        -19.83800000          0.00777698
        -19.83600000          0.00682587
        -19.83400000          0.00598170
        -19.83200000          0.00523381
        -19.83000000          0.00457241
        -19.82800000          0.00398859
        -19.82600000          0.00347421
        -19.82400000          0.00302189
        -19.82200000          0.00262494
        -19.82000000          0.00227732
        -19.81800000          0.00197359
        -19.81600000          0.00170885
        -19.81400000          0.00147874
        -19.81200000          0.00127935
        -19.81000000          0.00110721
        -19.80800000          0.00095927
        -19.80600000          0.00083283
        -19.80400000          0.00072554
        -19.80200000          0.00063537
        -19.80000000          0.00056058
        -19.79800000          0.00049970
