# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.990770 eV
#    Energy (eV)      DOS 
        -15.00922998          1.03960225
        -15.00722998          1.10348940
        -15.00522998          1.16967981
        -15.00322998          1.23810979
        -15.00122998          1.30870471
        -14.99922998          1.38137886
        -14.99722998          1.45603557
        -14.99522998          1.53256726
        -14.99322998          1.61085571
        -14.99122998          1.69077240
        -14.98922998          1.77217891
        -14.98722998          1.85492750
        -14.98522998          1.93886171
        -14.98322998          2.02381712
        -14.98122998          2.10962216
        -14.97922998          2.19609900
        -14.97722998          2.28306455
        -14.97522998          2.37033145
        -14.97322998          2.45770922
        -14.97122998          2.54500532
        -14.96922998          2.63202637
        -14.96722998          2.71857927
        -14.96522998          2.80447240
        -14.96322998          2.88951676
        -14.96122998          2.97352713
        -14.95922998          3.05632311
        -14.95722998          3.13773019
        -14.95522998          3.21758070
        -14.95322998          3.29571468
        -14.95122998          3.37198069
        -14.94922998          3.44623648
        -14.94722998          3.51834957
        -14.94522998          3.58819772
        -14.94322998          3.65566923
        -14.94122998          3.72066318
        -14.93922998          3.78308949
        -14.93722998          3.84286887
        -14.93522998          3.89993263
        -14.93322998          3.95422242
        -14.93122998          4.00568976
        -14.92922998          4.05429558
        -14.92722998          4.10000955
        -14.92522998          4.14280941
        -14.92322998          4.18268017
        -14.92122998          4.21961332
        -14.91922998          4.25360590
        -14.91722998          4.28465964
        -14.91522998          4.31278004
        -14.91322998          4.33797545
        -14.91122998          4.36025622
        -14.90922998          4.37963381
        -14.90722998          4.39612005
        -14.90522998          4.40972639
        -14.90322998          4.42046327
        -14.90122998          4.42833958
        -14.89922998          4.43336220
        -14.89722998          4.43553569
        -14.89522998          4.43486205
        -14.89322998          4.43134067
        -14.89122998          4.42496830
        -14.88922998          4.41573925
        -14.88722998          4.40364564
        -14.88522998          4.38867778
        -14.88322998          4.37082468
        -14.88122998          4.35007462
        -14.87922998          4.32641584
        -14.87722998          4.29983731
        -14.87522998          4.27032951
        -14.87322998          4.23788531
        -14.87122998          4.20250088
        -14.86922998          4.16417658
        -14.86722998          4.12291788
        -14.86522998          4.07873622
        -14.86322998          4.03164993
        -14.86122998          3.98168495
        -14.85922998          3.92887566
        -14.85722998          3.87326547
        -14.85522998          3.81490743
        -14.85322998          3.75386470
        -14.85122998          3.69021089
        -14.84922998          3.62403032
        -14.84722998          3.55541814
        -14.84522998          3.48448029
        -14.84322998          3.41133338
        -14.84122998          3.33610443
        -14.83922998          3.25893046
        -14.83722998          3.17995798
        -14.83522998          3.09934235
        -14.83322998          3.01724705
        -14.83122998          2.93384283
        -14.82922998          2.84930680
        -14.82722998          2.76382140
        -14.82522998          2.67757338
        -14.82322998          2.59075261
        -14.82122998          2.50355100
        -14.81922998          2.41616128
        -14.81722998          2.32877584
        -14.81522998          2.24158552
        -14.81322998          2.15477850
        -14.81122998          2.06853913
        -14.80922998          1.98304687
        -14.80722998          1.89847525
        -14.80522998          1.81499092
        -14.80322998          1.73275278
        -14.80122998          1.65191114
        -14.79922998          1.57260703
        -14.79722998          1.49497158
        -14.79522998          1.41912547
        -14.79322998          1.34517857
        -14.79122998          1.27322955
        -14.78922998          1.20336571
        -14.78722998          1.13566282
        -14.78522998          1.07018513
        -14.78322998          1.00698542
        -14.78122998          0.94610516
        -14.77922998          0.88757476
        -14.77722998          0.83141387
        -14.77522998          0.77763177
        -14.77322998          0.72622783
        -14.77122998          0.67719199
        -14.76922998          0.63050532
        -14.76722998          0.58614062
        -14.76522998          0.54406304
        -14.76322998          0.50423067
        -14.76122998          0.46659527
        -14.75922998          0.43110289
        -14.75722998          0.39769455
        -14.75522998          0.36630691
        -14.75322998          0.33687291
        -14.75122998          0.30932240
        -14.74922998          0.28358276
        -14.74722998          0.25957950
        -14.74522998          0.23723682
        -14.74322998          0.21647810
        -14.74122998          0.19722644
        -14.73922998          0.17940509
        -14.73722998          0.16293787
        -14.73522998          0.14774958
        -14.73322998          0.13376630
        -14.73122998          0.12091571
        -14.72922998          0.10912737
        -14.72722998          0.09833294
        -14.72522998          0.08846636
        -14.72322998          0.07946404
        -14.72122998          0.07126494
        -14.71922998          0.06381071
        -14.71722998          0.05704573
        -14.71522998          0.05091717
        -14.71322998          0.04537499
        -14.71122998          0.04037194
        -14.70922998          0.03586353
        -14.70722998          0.03180803
        -14.70522998          0.02816633
        -14.70322998          0.02490194
        -14.70122998          0.02198090
        -14.69922998          0.01937166
        -14.69722998          0.01704500
        -14.69522998          0.01497393
        -14.69322998          0.01313358
        -14.69122998          0.01150107
        -14.68922998          0.01005546
        -14.68722998          0.00877754
        -14.68522998          0.00764983
        -14.68322998          0.00665638
        -14.68122998          0.00578272
        -14.67922998          0.00501572
        -14.67722998          0.00434351
        -14.67522998          0.00375540
        -14.67322998          0.00324174
        -14.67122998          0.00279388
        -14.66922998          0.00240405
        -14.66722998          0.00206531
        -14.66522998          0.00177147
        -14.66322998          0.00151701
        -14.66122998          0.00129703
        -14.65922998          0.00110718
        -14.65722998          0.00094361
        -14.65522998          0.00080292
        -14.65322998          0.00068212
        -14.65122998          0.00057856
        -14.64922998          0.00048995
        -14.64722998          0.00041424
        -14.64522998          0.00034967
        -14.64322998          0.00029470
        -14.64122998          0.00024797
        -14.63922998          0.00020832
        -14.63722998          0.00017473
        -14.63522998          0.00014632
        -14.63322998          0.00012233
        -14.63122998          0.00010212
        -14.62922998          0.00008510
        -14.62722998          0.00007081
        -14.62522998          0.00005883
        -14.62322998          0.00004879
        -14.62122998          0.00004040
        -14.61922998          0.00003341
        -14.61722998          0.00002757
        -14.61522998          0.00002273
        -14.61322998          0.00001870
        -14.61122998          0.00001536
        -14.60922998          0.00001260
        -14.60722998          0.00001032
        -14.60522998          0.00000844
        -14.60322998          0.00000689
        -14.60122998          0.00000562
        -14.59922998          0.00000457
        -14.59722998          0.00000372
        -14.59522998          0.00000302
        -14.59322998          0.00000246
        -14.59122998          0.00000199
        -14.58922998          0.00000162
        -14.58722998          0.00000132
        -14.58522998          0.00000108
        -14.58322998          0.00000089
        -14.58122998          0.00000074
        -14.57922998          0.00000063
        -14.57722998          0.00000055
        -14.57522998          0.00000050
        -14.57322998          0.00000047
        -14.57122998          0.00000046
        -14.56922998          0.00000047
        -14.56722998          0.00000051
        -14.56522998          0.00000057
        -14.56322998          0.00000066
        -14.56122998          0.00000078
        -14.55922998          0.00000093
        -14.55722998          0.00000112
        -14.55522998          0.00000136
        -14.55322998          0.00000166
        -14.55122998          0.00000202
        -14.54922998          0.00000247
        -14.54722998          0.00000301
        -14.54522998          0.00000366
        -14.54322998          0.00000446
        -14.54122998          0.00000542
        -14.53922998          0.00000657
        -14.53722998          0.00000796
        -14.53522998          0.00000963
        -14.53322998          0.00001164
        -14.53122998          0.00001403
        -14.52922998          0.00001690
        -14.52722998          0.00002032
        -14.52522998          0.00002439
        -14.52322998          0.00002923
        -14.52122998          0.00003497
        -14.51922998          0.00004178
        -14.51722998          0.00004983
        -14.51522998          0.00005934
        -14.51322998          0.00007055
        -14.51122998          0.00008375
        -14.50922998          0.00009925
        -14.50722998          0.00011744
        -14.50522998          0.00013873
        -14.50322998          0.00016363
        -14.50122998          0.00019269
        -14.49922998          0.00022654
        -14.49722998          0.00026592
        -14.49522998          0.00031165
        -14.49322998          0.00036465
        -14.49122998          0.00042599
        -14.48922998          0.00049685
        -14.48722998          0.00057857
        -14.48522998          0.00067266
        -14.48322998          0.00078081
        -14.48122998          0.00090489
        -14.47922998          0.00104703
        -14.47722998          0.00120956
        -14.47522998          0.00139509
        -14.47322998          0.00160651
        -14.47122998          0.00184703
        -14.46922998          0.00212018
        -14.46722998          0.00242984
        -14.46522998          0.00278030
        -14.46322998          0.00317624
        -14.46122998          0.00362279
        -14.45922998          0.00412555
        -14.45722998          0.00469061
        -14.45522998          0.00532458
        -14.45322998          0.00603463
        -14.45122998          0.00682851
        -14.44922998          0.00771455
        -14.44722998          0.00870172
        -14.44522998          0.00979964
        -14.44322998          0.01101859
        -14.44122998          0.01236951
        -14.43922998          0.01386406
        -14.43722998          0.01551459
        -14.43522998          0.01733413
        -14.43322998          0.01933644
        -14.43122998          0.02153595
        -14.42922998          0.02394778
        -14.42722998          0.02658768
        -14.42522998          0.02947204
        -14.42322998          0.03261785
        -14.42122998          0.03604261
        -14.41922998          0.03976433
        -14.41722998          0.04380144
        -14.41522998          0.04817271
        -14.41322998          0.05289719
        -14.41122998          0.05799408
        -14.40922998          0.06348269
        -14.40722998          0.06938226
        -14.40522998          0.07571189
        -14.40322998          0.08249037
        -14.40122998          0.08973609
        -14.39922998          0.09746685
        -14.39722998          0.10569973
        -14.39522998          0.11445094
        -14.39322998          0.12373565
        -14.39122998          0.13356780
        -14.38922998          0.14395999
        -14.38722998          0.15492325
        -14.38522998          0.16646694
        -14.38322998          0.17859853
        -14.38122998          0.19132348
        -14.37922998          0.20464507
        -14.37722998          0.21856428
        -14.37522998          0.23307965
        -14.37322998          0.24818714
        -14.37122998          0.26388009
        -14.36922998          0.28014908
        -14.36722998          0.29698187
        -14.36522998          0.31436340
        -14.36322998          0.33227569
        -14.36122998          0.35069791
        -14.35922998          0.36960636
        -14.35722998          0.38897454
        -14.35522998          0.40877320
        -14.35322998          0.42897044
        -14.35122998          0.44953186
        -14.34922998          0.47042065
        -14.34722998          0.49159783
        -14.34522998          0.51302238
        -14.34322998          0.53465148
        -14.34122998          0.55644073
        -14.33922998          0.57834444
        -14.33722998          0.60031582
        -14.33522998          0.62230732
        -14.33322998          0.64427088
        -14.33122998          0.66615824
        -14.32922998          0.68792119
        -14.32722998          0.70951192
        -14.32522998          0.73088327
        -14.32322998          0.75198902
        -14.32122998          0.77278413
        -14.31922998          0.79322505
        -14.31722998          0.81326989
        -14.31522998          0.83287869
        -14.31322998          0.85201356
        -14.31122998          0.87063890
        -14.30922998          0.88872147
        -14.30722998          0.90623057
        -14.30522998          0.92313806
        -14.30322998          0.93941843
        -14.30122998          0.95504882
        -14.29922998          0.97000900
        -14.29722998          0.98428130
        -14.29522998          0.99785058
        -14.29322998          1.01070408
        -14.29122998          1.02283132
        -14.28922998          1.03422393
        -14.28722998          1.04487550
        -14.28522998          1.05478138
        -14.28322998          1.06393848
        -14.28122998          1.07234506
        -14.27922998          1.08000053
        -14.27722998          1.08690521
        -14.27522998          1.09306013
        -14.27322998          1.09846684
        -14.27122998          1.10312720
        -14.26922998          1.10704317
        -14.26722998          1.11021673
        -14.26522998          1.11264963
        -14.26322998          1.11434336
        -14.26122998          1.11529902
        -14.25922998          1.11551724
        -14.25722998          1.11499818
        -14.25522998          1.11374148
        -14.25322998          1.11174631
        -14.25122998          1.10901140
        -14.24922998          1.10553516
        -14.24722998          1.10131570
        -14.24522998          1.09635105
        -14.24322998          1.09063927
        -14.24122998          1.08417859
        -14.23922998          1.07696767
        -14.23722998          1.06900572
        -14.23522998          1.06029278
        -14.23322998          1.05082988
        -14.23122998          1.04061929
        -14.22922998          1.02966470
        -14.22722998          1.01797146
        -14.22522998          1.00554677
        -14.22322998          0.99239982
        -14.22122998          0.97854202
        -14.21922998          0.96398707
        -14.21722998          0.94875115
        -14.21522998          0.93285296
        -14.21322998          0.91631380
        -14.21122998          0.89915761
        -14.20922998          0.88141098
        -14.20722998          0.86310309
        -14.20522998          0.84426570
        -14.20322998          0.82493302
        -14.20122998          0.80514160
        -14.19922998          0.78493021
        -14.19722998          0.76433961
        -14.19522998          0.74341240
        -14.19322998          0.72219277
        -14.19122998          0.70072626
        -14.18922998          0.67905952
        -14.18722998          0.65724001
        -14.18522998          0.63531573
        -14.18322998          0.61333494
        -14.18122998          0.59134586
        -14.17922998          0.56939639
        -14.17722998          0.54753379
        -14.17522998          0.52580443
        -14.17322998          0.50425351
        -14.17122998          0.48292482
        -14.16922998          0.46186047
        -14.16722998          0.44110066
        -14.16522998          0.42068352
        -14.16322998          0.40064490
        -14.16122998          0.38101818
        -14.15922998          0.36183420
        -14.15722998          0.34312110
        -14.15522998          0.32490424
        -14.15322998          0.30720616
        -14.15122998          0.29004653
        -14.14922998          0.27344212
        -14.14722998          0.25740686
        -14.14522998          0.24195181
        -14.14322998          0.22708526
        -14.14122998          0.21281280
        -14.13922998          0.19913740
        -14.13722998          0.18605951
        -14.13522998          0.17357719
        -14.13322998          0.16168625
        -14.13122998          0.15038040
        -14.12922998          0.13965138
        -14.12722998          0.12948912
        -14.12522998          0.11988194
        -14.12322998          0.11081667
        -14.12122998          0.10227884
        -14.11922998          0.09425285
        -14.11722998          0.08672210
        -14.11522998          0.07966921
        -14.11322998          0.07307612
        -14.11122998          0.06692426
        -14.10922998          0.06119469
        -14.10722998          0.05586824
        -14.10522998          0.05092562
        -14.10322998          0.04634758
        -14.10122998          0.04211494
        -14.09922998          0.03820877
        -14.09722998          0.03461041
        -14.09522998          0.03130162
        -14.09322998          0.02826457
        -14.09122998          0.02548197
        -14.08922998          0.02293707
        -14.08722998          0.02061375
        -14.08522998          0.01849648
        -14.08322998          0.01657045
        -14.08122998          0.01482149
        -14.07922998          0.01323614
        -14.07722998          0.01180164
        -14.07522998          0.01050593
        -14.07322998          0.00933766
        -14.07122998          0.00828613
        -14.06922998          0.00734134
        -14.06722998          0.00649395
        -14.06522998          0.00573525
        -14.06322998          0.00505714
        -14.06122998          0.00445212
        -14.05922998          0.00391325
        -14.05722998          0.00343413
